DRT 0000 FlexDR_init.cpp:325       initNetTerms unsupported obj.
DRT 0002 TritonRoute.cpp:194       Detailed routing has not been run yet.
DRT 0003 io.cpp:3063               Load design first.
DRT 0004 io.cpp:3069               Load design first.
DRT 0005 frRegionQuery.cpp:118     Unsupported region query add.
DRT 0006 frRegionQuery.cpp:129     Unsupported region query add.
DRT 0007 frRegionQuery.cpp:147     Unsupported region query add.
DRT 0008 frRegionQuery.cpp:315     Unsupported region query add.
DRT 0009 frRegionQuery.cpp:341     Unsupported region query add.
DRT 0010 frRegionQuery.cpp:351     Unsupported region query add.
DRT 0011 frRegionQuery.cpp:375     Unsupported region query add.
DRT 0012 frRegionQuery.cpp:386     Unsupported region query add.
DRT 0013 frRegionQuery.cpp:397     Unsupported region query add.
DRT 0014 frRegionQuery.cpp:445     Unsupported region query add.
DRT 0015 frRegionQuery.cpp:462     Unsupported region query add.
DRT 0016 frRegionQuery.cpp:507     Unsupported region query add of blockage in instance {}.
DRT 0017 frRegionQuery.cpp:526     Unsupported region query add.
DRT 0018 frRegionQuery.cpp:729       Complete {} insts.
DRT 0019 frRegionQuery.cpp:733       Complete {} insts.
DRT 0020 frRegionQuery.cpp:745       Complete {} terms.
DRT 0021 frRegionQuery.cpp:749       Complete {} terms.
DRT 0022 frRegionQuery.cpp:766       Complete {} snets.
DRT 0023 frRegionQuery.cpp:777       Complete {} blockages.
DRT 0024 frRegionQuery.cpp:787       Complete {}.
DRT 0026 frRegionQuery.cpp:817       Complete {} origin guides.
DRT 0027 frRegionQuery.cpp:821       Complete {} origin guides.
DRT 0028 frRegionQuery.cpp:832       Complete {}.
DRT 0029 frRegionQuery.cpp:861       Complete {} nets (guide).
DRT 0030 frRegionQuery.cpp:865       Complete {} nets (guide).
DRT 0031 frRegionQuery.cpp:158     Unsupported region query add.
DRT 0032 frRegionQuery.cpp:993     {} grObj region query size = {}.
DRT 0033 frRegionQuery.cpp:1007    {} shape region query size = {}.
DRT 0034 frRegionQuery.cpp:1035    {} drObj region query size = {}.
DRT 0035 frRegionQuery.cpp:875       Complete {} (guide).
DRT 0036 frRegionQuery.cpp:1021    {} guide region query size = {}.
DRT 0037 FlexGC_init.cpp:81        init_design_helper shape does not have net.
DRT 0038 FlexGC_init.cpp:92        init_design_helper shape does not have dr net.
DRT 0039 FlexGC_init.cpp:98        init_design_helper unsupported type.
DRT 0040 FlexGC_init.cpp:164       FlexGCWorker::initDesign_skipObj type not supported.
DRT 0041 FlexGC_main.cpp:150       Unsupported metSpc rule.
DRT 0042 FlexGC_main.cpp:225       Unknown corner direction.
DRT 0043 FlexGC_main.cpp:300       Unsupported metSpc rule.
