PPL 0001 IOPlacer.cpp:879          Number of slots          {}
PPL 0002 IOPlacer.cpp:880          Number of I/O            {}
PPL 0003 IOPlacer.cpp:882          Number of I/O w/sink     {}
PPL 0004 IOPlacer.cpp:884          Number of I/O w/o sink   {}
PPL 0005 IOPlacer.cpp:885          Slots per section        {}
PPL 0006 IOPlacer.cpp:886          Slots increase factor    {:.1}
PPL 0007 IOPlacer.cpp:1380         Random pin placement.
PPL 0008 IOPlacer.cpp:831          Successfully assigned pins to sections.
PPL 0009 IOPlacer.cpp:834          Unsuccessfully assigned pins to sections ({} out of {}).
PPL 0010 IOPlacer.cpp:896          Tentative {} to set up sections.
PPL 0012 IOPlacer.cpp:1424         I/O nets HPWL: {:.2f} um.
PPL 0013 IOPlacer.cpp:822          Internal error, placed more pins than exist ({} out of {}).
PPL 0015 IOPlacer.tcl:371          Macro [$inst getName] is not placed.
PPL 0016 IOPlacer.tcl:158          Both -direction and -pin_names constraints not allowed.
PPL 0017 IOPlacer.tcl:389          -hor_layers is required.
PPL 0018 IOPlacer.tcl:395          -ver_layers is required.
PPL 0019 IOPlacer.tcl:427          Design without pins.
PPL 0020 IOPlacer.cpp:965          Manufacturing grid is not defined.
PPL 0021 IOPlacer.tcl:435          Horizontal routing tracks not found for layer $hor_layer_name.
PPL 0023 IOPlacer.tcl:453          Vertical routing tracks not found for layer $ver_layer_name.
PPL 0024 IOPlacer.tcl:470          Number of pins $bterms_cnt exceeds max possible $num_slots.
PPL 0025 IOPlacer.tcl:497          -exclude: $interval is an invalid region.
PPL 0026 IOPlacer.tcl:500          -exclude: invalid syntax in $region. Use (top|bottom|left|right):interval.
PPL 0027 IOPlacer.tcl:531          $cmd: $edge is an invalid edge. Use top, bottom, left or right.
PPL 0028 IOPlacer.tcl:544          $cmd: Invalid pin direction.
PPL 0029 IOPlacer.tcl:587          $cmd: Invalid edge
PPL 0030 IOPlacer.tcl:595          Invalid edge for command $cmd, should be one of top, bottom, left, right.
PPL 0031 IOPlacer.tcl:356          No technology found.
PPL 0032 IOPlacer.tcl:361          No block found.
PPL 0033 HungarianMatching.cpp:123 I/O pin {} cannot be placed in the specified region. Not enough space.
PPL 0034 IOPlacer.cpp:1470         Pin {} has dimension {}u which is less than the min width {}u of layer {}.
PPL 0036 IOPlacer.cpp:903          Number of sections is {} while the maximum recommended value is {} this may negatively affect performance.
PPL 0037 IOPlacer.cpp:912          Number of slots per sections is {} while the maximum recommended value is {} this may negatively affect performance.
PPL 0038 IOPlacer.cpp:1887         Pin {} without net.
PPL 0039 IOPlacer.cpp:1415         Assigned {} pins out of {} IO pins.
PPL 0040 IOPlacer.cpp:576          Negative number of slots.
PPL 0041 IOPlacer.tcl:508          Pin group $group_idx: \[$group\]
PPL 0042 IOPlacer.cpp:783          Unsuccessfully assigned I/O groups.
PPL 0043 IOPlacer.tcl:515          Pin $pin_name not found in group $group_idx.
PPL 0045 IOPlacer.tcl:439          Layer $hor_layer_name preferred direction is not horizontal.
PPL 0046 IOPlacer.tcl:457          Layer $ver_layer_name preferred direction is not vertical.
PPL 0048 IOPlacer.tcl:623          Restrict pins \[$names\] to region [ord::dbu_to_microns $begin]u-[ord::dbu_to_microns $end]u at the $edge_name edge.
PPL 0049 IOPlacer.tcl:164          Restrict $direction pins to region [ord::dbu_to_microns $begin]u-[ord::dbu_to_microns $end]u, in the $edge edge.
PPL 0050 IOPlacer.tcl:612          No technology has been read.
PPL 0051 IOPlacer.tcl:617          Layer $layer_name not found.
PPL 0052 IOPlacer.tcl:55           Routing layer not found for name $layer_name.
PPL 0053 IOPlacer.tcl:58           -layer is required.
PPL 0054 IOPlacer.tcl:65           -x_step and -y_step are required.
PPL 0055 IOPlacer.tcl:87           -region is required.
PPL 0056 IOPlacer.tcl:93           -size is not a list of 2 values.
PPL 0057 IOPlacer.tcl:99           -size is required.
PPL 0059 IOPlacer.tcl:185          Box at top layer must have 4 values (llx lly urx ury).
PPL 0060 IOPlacer.tcl:632          Restrict pins \[$names\] to region ([ord::dbu_to_microns $llx]u, [ord::dbu_to_microns $lly]u)-([ord::dbu_to_microns $urx]u, [ord::dbu_to_microns $urx]u) at routing layer $top_layer_name.
PPL 0061 IOPlacer.tcl:645          Pins for $cmd command were not found.
PPL 0063 IOPlacer.tcl:83           -region is not a list of 4 values {llx lly urx ury}.
PPL 0064 IOPlacer.tcl:288          -pin_name is required.
PPL 0065 IOPlacer.tcl:294          -layer is required.
PPL 0066 IOPlacer.tcl:300          -location is required.
PPL 0068 IOPlacer.tcl:304          -location is not a list of 2 values.
PPL 0069 IOPlacer.tcl:317          -pin_size is not a list of 2 values.
PPL 0070 IOPlacer.cpp:1551         Pin {} placed at ({}um, {}um).
PPL 0071 IOPlacer.tcl:325          Command place_pin should receive only one pin name.
PPL 0072 IOPlacer.cpp:214          Number of pins ({}) exceed number of valid positions ({}).
PPL 0073 IOPlacer.tcl:193          Constraint with region $region has an invalid edge.
PPL 0074 IOPlacer.cpp:691          Number of pins ({}) exceed number of valid positions ({}) for constraint.
PPL 0075 IOPlacer.cpp:1200         Pin {} is assigned to more than one constraint, using last defined constraint.
PPL 0076 IOPlacer.cpp:1238         Constraint does not have available slots for its pins.
PPL 0077 IOPlacer.cpp:987          Layer {} of Pin {} not found.
PPL 0078 IOPlacer.cpp:774          Not enough available positions ({}) to place the pin group of size {}.
PPL 0079 IOPlacer.cpp:1058         Pin {} area {:2.4f}um^2 is lesser than the minimum required area {:2.4f}um^2.
PPL 0080 IOPlacer.tcl:202          Mirroring pins $pin1 and $pin2.
PPL 0081 IOPlacer.tcl:198          List of pins must have an even number of pins.
PPL 0082 HungarianMatching.cpp:158 Mirrored position ({}, {}) at layer {} is not a valid position for pin placement.
PPL 0083 IOPlacer.tcl:132          Both -region and -mirrored_pins constraints not allowed.
PPL 0084 IOPlacer.cpp:1185         Pin {} is mirrored with another pin. The constraint for this pin will be dropped.
PPL 0085 IOPlacer.cpp:291          Mirrored position ({}, {}) at layer {} is not a valid position for pin placement.
